,IMO_Number,DWT
0,6703343,2045
1,7037806,1968
2,7043843,2838
3,7128332,4000
4,7226952,2566
5,7230599,1132
6,7310507,5579
7,7325095,2254
8,7346221,1029
9,7350090,1198
10,7358755,1560
11,7360605,2541
12,7360681,990
13,7361312,3335
14,7361324,3335
15,7382378,10320
16,7407324,8405
17,7422881,38997
18,7426045,1713
19,7504598,18203
20,7516773,1757
21,7527306,4728
22,7528611,8661
23,7529976,13088
24,7602089,3250
25,7602120,3250
26,7615048,1310
27,7615414,3440
28,7622041,10554
29,7633143,1940
30,7633155,1940
31,7633375,9157
32,7719430,2582
33,7724265,5300
34,7802067,4600
35,7803190,2971
36,7803205,2671
37,7807744,3100
38,7814046,5398
39,7814462,3501
40,7825978,1147
41,7826788,2800
42,7826855,4655
43,7826867,4550
44,7827213,2216
45,7827225,2830
46,7901265,2300
47,7901760,2692
48,7907245,2950
49,7907659,5129
50,7907661,5102
51,7911533,3898
52,7911545,3898
53,7927984,5000
54,7928811,2880
55,7931985,6805
56,7931997,5492
57,8000226,4150
58,8001024,10110
59,8009076,4734
60,8009545,13550
61,8019368,900
62,8020599,13030
63,8020642,2880
64,8020927,3300
65,8025343,14112
66,8027573,8528
67,8030283,5654
68,8105404,8214
69,8110681,59960
70,8116972,12352
71,8124785,31287
72,8125454,8915
73,8200577,2655
74,8201480,4661
75,8201624,21370
76,8201636,21370
77,8201648,21370
78,8202018,89846
79,8202525,36639
80,8203660,7782
81,8204250,8555
82,8204731,38191
83,8207381,7200
84,8208763,2118
85,8209626,7822
86,8214889,13286
87,8219906,2395
88,8219918,2435
89,8300169,6437
90,8303989,17090
91,8307947,29319
92,8309397,43952
93,8311118,14519
94,8311120,14499
95,8313702,42497
96,8315554,11546
97,8317942,2390
98,8317954,3030
99,8401133,9200
100,8401444,8027
101,8401523,14120
102,8405191,2485
103,8413875,31290
104,8415794,13895
105,8416308,4642
106,8417118,14107
107,8418174,445
108,8418265,8890
109,8418758,26264
110,8420787,43712
111,8420842,5143
112,8420878,922
113,8420892,41815
114,8500484,1734
115,8500630,6333
116,8501464,14103
117,8501957,6403
118,8502391,4110
119,8502406,4110
120,8502470,9650
121,8503503,431
122,8503797,6748
123,8505836,25904
124,8506311,4606
125,8506361,16453
126,8509375,41771
127,8509533,6640
128,8509557,6232
129,8512152,4284
130,8512891,31205
131,8517580,12342
132,8519710,9772
133,8520824,12569
134,8521402,31205
135,8601915,3690
136,8604345,4000
137,8604711,5583
138,8606056,16141
139,8606109,13500
140,8606111,13047
141,8611984,2674
142,8616336,6005
143,8618293,60900
144,8618358,6080
145,8700280,6150
146,8700498,51500
147,8700723,3680
148,8700785,1654
149,8701674,2800
150,8702446,804
151,8703232,6080
152,8704406,6148
153,8705395,3452
154,8705709,2267
155,8706777,14932
156,8706789,14933
157,8707329,3249
158,8712518,4100
159,8712635,7622
160,8714205,43078
161,8715259,5100
162,8715857,60639
163,8715869,60350
164,8716100,6494
165,8719188,4228
166,8800195,938
167,8802090,12350
168,8803769,5340
169,8804529,6120
170,8804531,6120
171,8804543,6123
172,8804555,6129
173,8804567,6120
174,8804579,6120
175,8806242,5311
176,8807155,5797
177,8808604,5353
178,8811405,18855
179,8813063,16137
180,8813099,16139
181,8813154,13772
182,8813635,6729
183,8818300,6934
184,8819275,6120
185,8819299,6000
186,8819304,6120
187,8819926,16950
188,8819938,16950
189,8820858,5387
190,8820860,5409
191,8821797,12150
192,8850906,4178
193,8857772,6059
194,8872801,7158
195,8873324,4178
196,8873489,6050
197,8876340,6005
198,8884555,8284
199,8901585,13770
200,8902345,6090
201,8902931,13759
202,8902955,54013
203,8902967,53818
204,8903155,12968
205,8903167,16950
206,8905787,12223
207,8907204,6807
208,8907280,2131
209,8907424,1226
210,8908545,6350
211,8908583,17309
212,8908844,16883
213,8909070,12942
214,8911085,9687
215,8911516,4155
216,8911736,6700
217,8911748,5387
218,8912120,7726
219,8912132,7726
220,8912144,7726
221,8912156,7726
222,8912297,96772
223,8912302,96772
224,8912376,4750
225,8912388,5282
226,8913162,3938
227,8913320,12231
228,8913411,46600
229,8913423,46600
230,8913447,46975
231,8914312,9169
232,8916126,3348
233,8916229,7242
234,8917390,4758
235,8917601,2962
236,8917613,2940
237,8917883,5387
238,8917895,6672
239,8918722,7498
240,8918734,7177
241,8918954,46600
242,8918966,46852
243,8918978,47120
244,8918980,46600
245,8919788,11117
246,8919805,4650
247,8919879,7912
248,8920141,11540
249,8920983,6088
250,8920995,6000
251,8922163,6368
252,8933564,5017
253,8945086,5346
254,8972259,6098
255,8972261,6088
256,8976671,461
257,8986365,6098
258,8986389,6125
259,9000302,39110
260,9000443,1300
261,9000742,32984
262,9002647,4232
263,9004487,9500
264,9004499,9597
265,9004504,9597
266,9005429,35100
267,9006253,5229
268,9007116,2500
269,9007128,2547
270,9007130,5175
271,9007295,7509
272,9007489,16950
273,9007491,1674
274,9007532,46998
275,9007544,46908
276,9007867,6293
277,9007879,7193
278,9008108,50667
279,9008574,45670
280,9008598,1800
281,9008603,45668
282,9008706,46956
283,9008732,10713
284,9010151,10700
285,9010163,11558
286,9010175,11682
287,9010814,6124
288,9010929,8000
289,9011014,2328
290,9013701,7515
291,9014066,47069
292,9014078,47029
293,9014444,7387
294,9014755,12890
295,9014767,12891
296,9015187,13930
297,9015199,13958
298,9015216,13930
299,9015266,7550
300,9015577,29330
301,9015735,6875
302,9015747,6875
303,9016674,10603
304,9017769,11600
305,9018646,19519
306,9018658,19653
307,9019054,5985
308,9019066,7330
309,9019078,7330
310,9019080,7330
311,9019640,11579
312,9019652,11581
313,9020352,12184
314,9021485,2152
315,9030137,13930
316,9030149,13930
317,9031698,7330
318,9031703,7330
319,9031997,2706
320,9033505,22242
321,9034731,8674
322,9034743,9108
323,9034925,94191
324,9035876,6911
325,9036002,61153
326,9037276,9215
327,9037290,9205
328,9037305,9215
329,9038323,13981
330,9038488,10621
331,9038907,67640
332,9039119,902
333,9039250,31160
334,9039391,5567
335,9040429,850
336,9040895,66832
337,9041772,22201
338,9045089,4780
339,9045168,8075
340,9045601,8764
341,9045651,7321
342,9045704,7068
343,9045728,8049
344,9045780,7721
345,9045792,7721
346,9045924,10466
347,9046502,10600
348,9046514,10288
349,9046526,10288
350,9046538,10282
351,9047001,26446
352,9047245,8044
353,9047269,8043
354,9047764,37375
355,9048914,850
356,9050618,9710
357,9050814,4900
358,9050826,6325
359,9051478,42288
360,9051492,42413
361,9051791,10086
362,9053658,10520
363,9053919,6541
364,9055709,10545
365,9056583,6791
366,9056595,6722
367,9057123,16700
368,9057173,22450
369,9058995,3318
370,9059107,6550
371,9059602,14160
372,9059614,14140
373,9059626,14140
374,9059638,14140
375,9059640,14140
376,9060637,43436
377,9060649,43618
378,9062996,30600
379,9064281,9146
380,9064748,41667
381,9064750,41667
382,9064839,11575
383,9065405,3222
384,9065417,3222
385,9067544,9355
386,9070474,13363
387,9070632,5200
388,9072446,7260
389,9072824,7957
390,9073385,8024
391,9073402,8024
392,9074078,47053
393,9075709,21423
394,9075711,21414
395,9077898,70087
396,9077903,70087
397,9079119,50198
398,9079121,50198
399,9080015,2164
400,9081289,12760
401,9081291,12754
402,9081306,12760
403,9081318,12760
404,9081320,12760
405,9081370,12708
406,9081588,4226
407,9081801,50198
408,9081992,8816
409,9082623,26477
410,9083043,8932
411,9083055,8450
412,9084229,21955
413,9084255,18703
414,9084607,20100
415,9085443,8177
416,9085534,84900
417,9085546,84900
418,9085558,84900
419,9085675,21964
420,9085895,16857
421,9085900,16582
422,9086320,26411
423,9086526,29292
424,9086588,5717
425,9087013,37455
426,9087116,7383
427,9087233,43188
428,9087350,11446
429,9087362,11561
430,9087374,11521
431,9087465,6538
432,9087477,6538
433,9087726,3350
434,9088249,12490
435,9088859,5848
436,9100073,50198
437,9100267,7037
438,9101730,18886
439,9102069,36876
440,9102071,37090
441,9102083,37205
442,9102095,37271
443,9102100,36905
444,9102112,36902
445,9102124,37042
446,9102710,41583
447,9102722,41583
448,9102746,41590
449,9103013,7444
450,9103128,46428
451,9103362,8972
452,9103374,8973
453,9103398,6017
454,9103685,60200
455,9104263,4910
456,9104811,21583
457,9104835,3538
458,9105035,55770
459,9105970,22900
460,9106297,6500
461,9106467,9200
462,9106479,13623
463,9106493,13623
464,9106974,11307
465,9106986,11366
466,9107306,48041
467,9107318,48077
468,9107681,64214
469,9107772,1104
470,9107784,1171
471,9107796,1150
472,9107899,38852
473,9108063,7946
474,9108128,34330
475,9108130,34330
